POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1918,8.29E+00,-4.94E+00,0.00E+00,-9.50E+00,9.50E+00,-4.92E-05
1919,6.80E+00,-2.84E+00,0.00E+00,-7.53E+00,7.53E+00,-2.16E-05
1920,4.41E+00,1.38E-01,0.00E+00,-3.78E+00,4.94E+00,4.82E-06
1921,4.45E+00,8.93E-02,0.00E+00,-3.84E+00,4.99E+00,3.41E-06
1922,7.21E+00,-3.32E+00,0.00E+00,-8.12E+00,8.12E+00,-9.67E-06
1923,8.48E+00,-4.78E+00,0.00E+00,-9.68E+00,9.68E+00,-3.42E-05
1924,3.04E+00,-1.16E+00,0.00E+00,-3.40E+00,3.40E+00,-4.93E-06
1925,2.73E+00,-1.30E+00,0.00E+00,-3.10E+00,3.10E+00,-9.14E-06
1926,2.48E+00,-6.29E-01,0.00E+00,-2.55E+00,2.85E+00,-5.28E-06
1927,2.47E+00,-4.45E-01,0.00E+00,-2.46E+00,2.83E+00,-2.27E-06
1928,2.14E+00,-4.80E-01,0.00E+00,-2.19E+00,2.43E+00,-1.88E-06
1929,1.77E+00,-5.51E-01,0.00E+00,-1.89E+00,1.98E+00,-2.51E-06
1930,1.42E+00,-5.59E-01,0.00E+00,-1.56E+00,1.57E+00,-3.12E-06
1931,1.12E+00,-4.95E-01,0.00E+00,-1.25E+00,1.25E+00,-3.14E-06
1932,8.51E-01,-3.49E-01,0.00E+00,-9.45E-01,9.49E-01,-2.64E-06
1933,6.06E-01,-1.61E-01,0.00E+00,-6.35E-01,6.78E-01,-8.07E-07
1934,4.51E-01,3.27E-01,0.00E+00,-8.42E-02,4.91E-01,5.83E-06
1935,8.39E-01,2.34E-02,0.00E+00,-7.03E-01,9.36E-01,7.07E-06
1936,1.05E+00,9.11E-03,0.00E+00,-8.74E-01,1.18E+00,9.84E-06
1937,1.23E+00,-4.55E-02,0.00E+00,-1.03E+00,1.39E+00,1.04E-05
1938,1.46E+00,-6.85E-02,0.00E+00,-1.22E+00,1.65E+00,1.22E-05
1939,1.72E+00,-9.53E-02,0.00E+00,-1.46E+00,1.93E+00,1.49E-05
1940,1.99E+00,-1.71E-01,0.00E+00,-1.78E+00,2.24E+00,1.86E-05
1941,2.19E+00,-3.35E-01,0.00E+00,-2.09E+00,2.47E+00,2.31E-05
1942,2.66E+00,-7.76E-01,0.00E+00,-2.73E+00,2.99E+00,2.13E-05
1943,3.31E+00,-7.14E-01,0.00E+00,-3.11E+00,3.74E+00,2.80E-05
1944,2.94E+00,1.35E-01,0.00E+00,-2.19E+00,3.25E+00,2.94E-05
1945,1.54E+00,-2.95E-03,0.00E+00,-1.34E+00,1.67E+00,2.51E-05
1946,1.56E+00,2.59E-01,0.00E+00,-1.12E+00,1.68E+00,2.75E-05
1947,3.49E+00,1.65E+00,0.00E+00,-2.17E+00,3.95E+00,6.18E-05
1948,4.23E+00,1.03E+00,0.00E+00,-3.38E+00,4.78E+00,4.04E-05
1949,1.12E+00,1.68E-01,0.00E+00,-1.01E+00,1.21E+00,1.07E-05
1950,1.35E+00,2.07E-01,0.00E+00,-1.20E+00,1.50E+00,1.04E-05
1951,1.65E+00,2.76E-01,0.00E+00,-1.44E+00,1.86E+00,1.12E-05
1952,1.93E+00,3.72E-01,0.00E+00,-1.64E+00,2.17E+00,1.36E-05
1953,2.27E+00,4.98E-01,0.00E+00,-1.89E+00,2.57E+00,1.74E-05
1954,2.63E+00,6.74E-01,0.00E+00,-2.12E+00,2.99E+00,2.43E-05
1955,2.97E+00,9.25E-01,0.00E+00,-2.26E+00,3.39E+00,3.49E-05
1956,3.14E+00,1.21E+00,0.00E+00,-2.20E+00,3.60E+00,5.11E-05
1957,3.16E+00,1.39E+00,0.00E+00,-2.15E+00,3.54E+00,2.38E-05
1958,2.95E+00,1.29E+00,0.00E+00,-2.04E+00,3.33E+00,1.69E-05
1959,2.64E+00,1.16E+00,0.00E+00,-1.83E+00,2.99E+00,1.36E-05
1960,2.31E+00,9.94E-01,0.00E+00,-1.62E+00,2.62E+00,1.13E-05
1961,2.01E+00,8.15E-01,0.00E+00,-1.46E+00,2.27E+00,1.00E-05
1962,1.82E+00,6.38E-01,0.00E+00,-1.40E+00,2.04E+00,9.87E-06
1963,1.56E+00,4.75E-01,0.00E+00,-1.25E+00,1.73E+00,9.56E-06
1964,1.34E+00,3.21E-01,0.00E+00,-1.13E+00,1.45E+00,9.38E-06
1965,4.51E+00,2.48E+00,0.00E+00,-2.59E+00,5.07E+00,3.27E-05
1966,3.83E+00,2.02E+00,0.00E+00,-2.25E+00,4.28E+00,2.60E-05
